"Kategorie","Artikel","Preis"
"Speisen","Berner Würstel mit Gebäck","6.20"
"Speisen","Berner Würstel mit Pommes","9.20"
"Speisen","Käsekrainer mit Gebäck","6.20"
"Speisen","Käsekrainer mit Pommes","9.20"
"Speisen","Weißwurst mit Laugenbrezel","6.20"
"Speisen","Bratwurst mit Gebäck","6.20"
"Speisen","Bratwurst mit Pommes","9.20"
"Speisen","Frankfurter/Debreziner mit Gebäck","5.50"
"Speisen","Frankfurter/Debreziner mit Pommes","8.50"
"Speisen","Vegetarische Würstel mit Gebäck","5.50"
"Speisen","Vegetarische Würstel mit Pommes","8.50"
"Speisen","Portion Pommes","3.50"
"Speisen","Semmel/Brot","0.50"
"Speisen","Laugenbrezel","2.00"
"Speisen","Mehlspeise","3.50"
"Speisen","Kaffee","3.00"
"Getraenke","Bier, Radler 0,5 l","4.40"
"Getraenke","Alkoholfreies Bier 0,5 l","4.40"
"Getraenke","Bier 0,3 l","3.80"
"Getraenke","Bärnstein Dirndl","3.10"
"Getraenke","Limo (Cola, Frucade, Almdudler, Eistee, Sprite)","3.10"
"Getraenke","Almdudler gespritzt 0,5 l","4.00"
"Getraenke","Holler/Dirndlsaft gespritzt 0,5 l","3.00"
"Getraenke","G'spritzter weiß / rot 0,25 l","2.60"
"Getraenke","1 Meter G'spritzter 10+1 gratis","26.00"
"Getraenke","Rettungsspritzer 1/8 g'spritzt 0,5 l","3.80"
"Getraenke","Dirndl- bzw. Kaiserg'spritzter 0,25 l","2.90"
"Getraenke","Mischung weiß / rot 0,25 l","3.50"
"Getraenke","1/8 Schankwein weiß / rot","1.70"
"Getraenke","Mineral 0,25 l","1.00"
"Getraenke","Soda 0,25 l","1.20"
"Getraenke","Leitungswasser","0.00"
